Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,End Time - hh:mm:ss.ms,End Time - ss.msec,Duration - hh:mm:ss.ms,Duration - ss.msec,Audio,Gesture
0:00:29,29.455,0:00:30,30.365,0:00:00,0.91,I like puppies,Multiple Drag Attempts
0:00:33,33.74,0:00:34,34.24,0:00:00,0.5,Come here puppy,Multiple Drag Attempts
0:00:34,34.355,0:00:34,34.465,0:00:00,0.11,oh,Multiple Drag Attempts
0:00:39,39.71,0:00:39,39.9,0:00:00,0.19,puppy,Swipe menu 
0:00:42,42.91,0:00:43,43.51,0:00:00,0.6,I'll try something else,
0:00:53,53.72,0:00:54,54,0:00:00,0.28,,
0:00:56,56.505,0:01:01,61.285,0:00:04,4.78,I'm trying to figue out... oh there you go puppy,
0:01:21,81.37,0:01:22,82.3,0:00:00,0.93,Just stay... stay,Drag
0:01:39,99.51,0:01:40,100.86,0:00:01,1.35,Ok puppy got his dog house ,
0:01:52,112.12,0:01:53,113.04,0:00:00,0.92,"Nice, nice",Swipe
0:01:58,118.11,0:01:58,118.76,0:00:00,0.65,I love bubbles,Swipe
0:02:20,140.66,0:02:21,141.78,0:00:01,1.12,where's my bubbles,Swipe
0:02:30,150.24,0:02:31,151.81,0:00:01,1.57,"Puppys in the playhouse, fish and bubbles",Swipe 
0:02:39,159.28,0:02:39,159.6,0:00:00,0.32,Tree,Drag
0:02:44,164.38,0:02:45,165.04,0:00:00,0.66,Tree behind the house,Drag
0:04:30,270.56,0:04:30,270.89,0:00:00,0.33,,Drag
0:05:47,347.73,0:05:48,348.67,0:00:00,0.94,,Pinch
0:06:57,417.66,0:06:57,417.97,0:00:00,0.31,huh,Taps
0:08:28,508.35,0:08:29,509.03,0:00:00,0.68,I'm looking for my dog house,
0:10:23,623.52,0:10:23,623.94,0:00:00,0.42,oh sorry,
0:10:26,626.23,0:10:27,627.14,0:00:00,0.91,,
0:10:30,630.08,0:10:35,635,0:00:04,4.92,,
0:10:52,652.01,0:10:53,653.92,0:00:01,1.91,,
0:10:59,659.23,0:11:00,660.1,0:00:00,0.87,,
0:11:21,681.66,0:11:22,682.53,0:00:00,0.87,,
0:11:36,696.23,0:11:37,697.36,0:00:01,1.13,"Stay, stay",
0:11:50,710.42,0:11:51,711.53,0:00:01,1.11,Dog house in the garden,
0:11:52,712.17,0:11:53,713.17,0:00:01,1,My beautiful spring day,
0:16:21,981.42,0:16:22,982.08,0:00:00,0.66,,
0:16:24,984.05,0:16:24,984.63,0:00:00,0.58,,
0:16:31,991.77,0:16:34,994.66,0:00:02,2.89,,
0:16:51,1011.585,0:16:53,1013.685,0:00:02,2.1,I wanna put this back but I don't know,
0:00:13,13.5,0:00:35,35.3,0:00:21,21.8,,Multiple Drag Attempts
0:00:38,38.3,0:00:43,43.2,0:00:04,4.9,,Swipe menu 
0:00:44,44,0:00:48,48.2,0:00:04,4.2,,Drag 
0:00:54,54.6,0:00:55,55.4,0:00:00,0.8,,Tap
0:00:55,55.7,0:00:59,59.3,0:00:03,3.6,,Drag
0:01:00,60.2,0:01:07,67.9,0:00:07,7.7,,Swipe
0:01:08,68.45,0:01:13,73.25,0:00:04,4.8,,Drag
0:01:13,73.85,0:01:17,77.05,0:00:03,3.2,,Swipe
0:01:17,77.465,0:01:27,87.565,0:00:10,10.1,,Drag
0:01:27,87.915,0:01:31,91.815,0:00:03,3.9,,Swipe
0:01:36,96.065,0:01:38,98.365,0:00:02,2.3,,Pan
0:01:44,104.615,0:01:46,106.315,0:00:01,1.7,,Tap
0:01:46,106.765,0:01:56,116.365,0:00:09,9.6,,Swipe
0:01:56,116.665,0:02:01,121.465,0:00:04,4.8,,Swipe
0:02:03,123.765,0:02:04,124.965,0:00:01,1.2,,Tap
0:02:05,125.365,0:02:11,131.465,0:00:06,6.1,,Drag
0:02:11,131.815,0:02:22,142.015,0:00:10,10.2,,Swipe
0:02:22,142.415,0:02:26,146.815,0:00:04,4.4,,Drag
0:02:27,147.215,0:02:28,148.115,0:00:00,0.9,,Swipe
0:02:28,148.665,0:02:37,157.865,0:00:09,9.2,,Swipe 
0:02:38,158.165,0:02:46,166.165,0:00:08,8,,Drag
0:02:46,166.565,0:03:17,197.865,0:00:31,31.3,,Pan 
0:03:27,207.815,0:03:34,214.015,0:00:06,6.2,,Drag
0:03:34,214.715,0:03:38,218.615,0:00:03,3.9,,Swipe
0:03:41,221.165,0:03:42,222.365,0:00:01,1.2,,Tap
0:03:42,222.865,0:03:45,225.965,0:00:03,3.1,,Pan
0:03:46,226.315,0:03:50,230.415,0:00:04,4.1,,Drag
0:03:51,231.065,0:03:54,234.765,0:00:03,3.7,,Drag
0:03:55,235.215,0:04:01,241.015,0:00:05,5.8,,Drag
0:04:01,241.515,0:04:05,245.915,0:00:04,4.4,,Swipe
0:04:06,246.415,0:04:10,250.315,0:00:03,3.9,,Drag
0:04:10,250.765,0:04:17,257.765,0:00:07,7,,Drag
0:04:18,258.265,0:04:24,264.365,0:00:06,6.1,,Drag
0:04:24,264.815,0:04:25,265.815,0:00:01,1,,Rotate
0:04:26,266.315,0:04:31,271.015,0:00:04,4.7,,Drag
0:04:31,271.565,0:04:36,276.165,0:00:04,4.6,,Drag
0:04:36,276.665,0:04:37,277.065,0:00:00,0.4,,Drag
0:04:37,277.465,0:04:37,277.765,0:00:00,0.3,,Rotate
0:04:38,278.215,0:04:41,281.815,0:00:03,3.6,,Scale
0:04:42,282.215,0:04:45,285.915,0:00:03,3.7,,Drag
0:04:46,286.465,0:04:48,288.665,0:00:02,2.2,,Waving
0:04:49,289.165,0:04:58,298.665,0:00:09,9.5,,Swipe
0:04:59,299.015,0:05:09,309.915,0:00:10,10.9,,Drag
0:05:10,310.265,0:05:15,315.265,0:00:05,5,,Pinch
0:05:15,315.765,0:05:20,320.465,0:00:04,4.7,,Pinch
0:05:20,320.815,0:05:29,329.315,0:00:08,8.5,,Drag
0:05:29,329.865,0:05:33,333.565,0:00:03,3.7,,Drag
0:05:34,334.015,0:05:40,340.915,0:00:06,6.9,,Drag
0:05:41,341.465,0:05:45,345.565,0:00:04,4.1,,Scale
0:05:45,345.915,0:06:00,360.115,0:00:14,14.2,,Pinch
0:06:04,364.215,0:06:07,367.015,0:00:02,2.8,,Tap
0:06:07,367.715,0:06:11,371.815,0:00:04,4.1,,Tap
0:06:23,383.765,0:06:26,386.765,0:00:03,3,,Tap
0:06:28,388.665,0:06:37,397.765,0:00:09,9.1,,Drag
0:06:39,399.015,0:06:40,400.015,0:00:01,1,,Pinch
0:06:40,400.815,0:06:55,415.315,0:00:14,14.5,,Drag
0:06:55,415.8,0:07:04,424.9,0:00:09,9.1,,Taps
0:07:05,425.35,0:07:15,435.45,0:00:10,10.1,,Pinches
0:07:16,436,0:07:17,437.2,0:00:01,1.2,,Drag
0:07:17,437.6,0:07:18,438.1,0:00:00,0.5,,Rotate
0:07:25,445.15,0:07:35,455.65,0:00:10,10.5,,Swipe
0:07:36,456.1,0:07:45,465,0:00:08,8.9,,Drag
0:07:49,469.65,0:07:52,472.35,0:00:02,2.7,,Tap
0:08:19,499.5,0:08:21,501.3,0:00:01,1.8,,Tap
0:08:33,513.8,0:08:38,518.2,0:00:04,4.4,,Tap
0:09:02,542.2,0:09:05,545.7,0:00:03,3.5,,Swipe
0:09:36,576.95,0:09:38,578.35,0:00:01,1.4,,Tap
0:09:57,597.25,0:10:01,601.45,0:00:04,4.2,,Pan
0:10:01,601.8,0:10:10,610.7,0:00:08,8.9,,Drag
